edition,year,host_country,first,second,third,teams,total_attendance
1,1930,Uruguay,Uruguay,Argentina,United States,13,590549
2,1934,Italy,Italy,Czechoslovakia,Germany,16,363000
3,1938,France,Italy,Hungary,Brazil,15,375700
4,1950,Brazil,Uruguay,Brazil,Sweden,13,1045246
5,1954,Switzerland,Germany,Hungary,Austria,16,768607
6,1958,Sweden,Brazil,Sweden,France,16,819810
7,1962,Chile,Brazil,Czechoslovakia,Chile,16,893172
8,1966,England,England,Germany,Portugal,16,1563135
9,1970,Mexico,Brazil,Italy,Germany,16,1603975
10,1974,Germany,Germany,Netherlands,Poland,16,1865753
11,1978,Argentina,Argentina,Netherlands,Brazil,16,1545791
12,1982,Spain,Italy,Germany,Poland,24,2109723
13,1986,Mexico,Argentina,Germany,France,24,2394031
14,1990,Italy,Germany,Argentina,Italy,24,2516215
15,1994,United States,Brazil,Italy,Sweden,24,3587538
16,1998,France,France,Brazil,Croatia,32,2785100
17,2002,South Korea /Â Japan,Brazil,Germany,Turkey,32,2705197
18,2006,Germany,Italy,France,Germany,32,3359439
19,2010,South Africa,Spain,Netherlands,Germany,32,3178856
20,2014,Brazil,Germany,Argentina,Netherlands,32,3429873
21,2018,Russia,France,Croatia,Belgium,32,3031768
